formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull
Y3P2_s011,Y3P2,0.0,38.35863101062406,40.19267053898212,0.0,40.441363071068245,164,-7.304560852050781,0.035249519348144354,-7.319674233000001,0.026022077666667087
Li9F8_s002,Li9F8,23.91508274499504,22.601985732991977,21.41273378801245,22.254658392756813,0.0,164,-4.6709303014418655,0.016102510340073373,-4.63086271,0.04156382568627581
Li6N1_s005,Li6N1,42.53623423864206,42.4965890470428,0.0,77.51220029867261,0.0,164,-3.005650384085519,0.04461915152413454,-3.00367119,0.03292912285714289
Sc5N4_s009,Sc5N4,26.29851881256096,27.711376999390676,27.464644540679583,16.384167911704353,25.352499738256544,164,-8.931081136067709,-0.018309611900180656,-8.879336393333334,0.04831570846405242
Rb6O1_s020,Rb6O1,0.0,32.10789476947991,27.50107174023637,90.20421774042072,82.74012008518595,163,-1.9347870690482003,0.010271447045462567,-1.9249801692857142,0.04109195339285732
Rb6O1_s003,Rb6O1,90.08265188852928,91.2272479941478,91.3855390991666,90.64173581445492,90.33247812855694,162,-1.9347869328090124,0.010271583284650498,-1.9209781014285716,0.04509402124999995
Cs6O1_s027,Cs6O1,65.57282854327036,87.8007335016059,88.22392829464826,87.42226746515489,89.46296024440966,162,-1.8343193871634347,0.03654624394008077,-1.8605731114285715,0.04601117088669926
K6O1_s014,K6O1,0.0,91.87878237589854,91.6313759497555,91.397632227854,89.83860619451939,162,-2.1062680653163364,-0.025278159550258028,-2.0470114628571427,0.0482643011428574
Ca2P1_s051,Ca2P1,29.18410644112453,31.75381127191528,29.755163877710483,22.20637882905817,29.191829714952256,160,-3.998729564525463,-0.13703350667600311,-3.9075049574074074,-0.03901902907407395
Ba2P1_s040,Ba2P1,60.6105356338397,57.981837344842326,57.45025404079266,59.45945130214877,62.0363765512251,160,-3.895776536729601,0.023755543761782683,-3.9053188355555557,-0.003228049722222348
Na8Cl7_s007,Na8Cl7,0.0,20.880700062230662,20.880700062230662,21.19077201997794,0.0,160,-3.2265567355685763,0.01952590412563726,-3.225675296222222,0.024764108007663044
Na4Cl3_s009,Na4Cl3,0.0,20.35416979462436,20.233889170013423,21.37778692632696,0.0,160,-3.042423793247768,0.045555285045078886,-3.0438931295238096,0.049165530968801274
Y2S1_s033,Y2S1,26.69655665677729,14.876966299491912,31.102721672641685,11.651137220029709,40.58698895935078,160,-6.983162350124783,0.021030002170139284,-6.991333843888889,0.027731413888888667
Y2S1_s042,Y2S1,0.0,13.058021350135965,26.44709654434915,6.824220645718855,23.86911459659435,156,-6.994869232177734,0.0093231201171875,-6.986936563333334,0.03212869444444344
Y2S1_s047,Y2S1,26.63434837532026,38.45433433698918,41.70094817128975,29.2912802178394,38.1410510528702,156,-6.985859764946832,0.01833258734809018,-6.983801031111111,0.03526422666666651
Na6Cl5_s015,Na6Cl5,0.0,27.699151887278266,27.699151887278266,28.12601547783959,0.0,156,-3.1672990972345527,0.02847786383195361,-3.1663821090909092,0.03398160394984284
Ca5P2_s005,Ca5P2,61.726595514278046,39.61997795816076,40.98199258496839,35.27916959895831,35.51160146513187,156,-3.693262917654855,-0.09811597778683634,-3.6435003828571433,-0.04114103285714332
Ca5P2_s013,Ca5P2,0.0,20.023275615104467,37.21717333938389,3.2068691730032373,44.61752103430394,156,-3.693263190133231,-0.0981162502652122,-3.603555022857143,-0.0011956728571429487
Y4N3_s032,Y4N3,0.0,25.58335199909445,35.083765263374175,14.640578387472852,31.23368592434636,156,-8.665627615792411,0.04429149627685547,-8.685598138571429,0.02818090476190349
Y3N2_s030,Y3N2,20.898988549807523,35.2788362120673,38.36773630259008,26.37110002101718,28.01251451618557,156,-8.527268981933593,0.03177433013916087,-8.545307928666666,0.01865058599999969
Na6Br5_s017,Na6Br5,0.0,26.223980469629137,26.05361329273077,26.71119036352759,0.0,156,-2.864214637062766,0.0321051207455727,-2.866099639090909,0.03358965122257063
Rb4Br3_s006,Rb4Br3,0.0,38.88051024934271,39.96175286074511,39.61221505631964,0.0,156,-2.726008551461356,0.03655821936471115,-2.7247484285714285,0.04703645035714299
Rb7Br5_s008,Rb7Br5,0.0,44.2595580253392,45.547957054366265,44.88246062464346,0.0,156,-2.6834545135498047,0.0283815860748291,-2.678951221666667,0.04307669041666662
Y4N3_s022,Y4N3,10.133395757949248,28.17878685997642,29.58176150218668,19.947294940005783,31.65998451732162,156,-8.69232177734375,0.017597334725516944,-8.713059885,0.0007191583333323592
Y5P4_s028,Y5P4,21.925473082872102,26.740507043458024,24.04925029079823,4.507177772583809,23.03061346403526,156,-7.410132514105903,0.02890321943494989,-7.400770997222223,0.04261700203703711
Li4N1_s028,Li4N1,0.0,7.19919918896027,33.48924179205076,10.3669354532959,26.42288011488956,156,-3.478102111816406,0.030156707763672408,-3.4796810093333335,0.007990282000000182
